"metabolite","mdd_beta","mdd_SE","mdd_P","n","FDR_P"
"S.VLDL.P",2.17990737126598e-09,6.40085971331484e-10,0.000702512056608574,627,0.00769848185454037
"XS.VLDL.P",2.18397222502768e-09,6.08862673340979e-10,0.00036078113201208,627,0.00769848185454037
"VLDL.C",0.0589791005661726,0.01717247696097,0.000633033415781464,627,0.00769848185454037
"Remnant.C",0.0869906210686197,0.0254961101620716,0.000686843329521256,627,0.00769848185454037
"SM",0.0254698699931906,0.00753522665695306,0.000769848185454037,627,0.00769848185454037
"ApoB",0.0473129476319301,0.0133349383413892,0.000417290517226029,627,0.00769848185454037
"IDL.P",4.56655247543975e-09,1.69388742804499e-09,0.00720947690233311,627,0.0467183485646811
"L.LDL.P",8.00780015276921e-09,3.03098335617401e-09,0.00844925954606204,627,0.0467183485646811
"M.LDL.P",6.99026759125704e-09,2.66661162661812e-09,0.00897064453399054,627,0.0467183485646811
"S.LDL.P",7.97990628422721e-09,2.89291531477409e-09,0.00597844522774536,627,0.0467183485646811
"LDL.D",-0.0303866028568232,0.0116542974164797,0.00934366971293622,627,0.0467183485646811
"EstC",0.112716925222278,0.0427351688629254,0.00855872574510436,627,0.0467183485646811
"Serum.C",0.1538991840869,0.0604381289819652,0.0111237963252665,627,0.047591423405787
"LDL.C",0.0789494416275509,0.0309570747103163,0.011001563002132,627,0.047591423405787
"LDL.TG",0.0111133025703077,0.00440554049166397,0.0118978558514468,627,0.047591423405787
"M.VLDL.P",1.49887731997593e-09,6.02537839174617e-10,0.0131210062348405,627,0.0492037733806517
"VLDL.TG",0.0795711993695906,0.0325589561144796,0.0148053122697917,627,0.0522540433051472
"XXL.VLDL.P",2.86549284564775e-11,1.27239508181281e-11,0.0246667461394073,627,0.080395427387611
"FreeC",0.0411967053423891,0.0183933717414293,0.0254585520060768,627,0.080395427387611
"PC",0.0684105409081685,0.0310854468165775,0.0281216015683465,627,0.0843648047050395
"L.VLDL.P",6.04224509303368e-10,2.83012944946232e-10,0.0331528655031547,627,0.0947224728661562
"XL.VLDL.P",1.35323789014226e-10,6.4739779928855e-11,0.037056119327653,548,0.101062143620872
"L.HDL.P",-4.64058655323786e-08,2.31198258338515e-08,0.045222784186461,548,0.11797248048642
"HDL.D",-0.0291832779487751,0.0155630784833752,0.0612381131526757,627,0.153095282881689
"HDL.TG",0.00381607775344932,0.00242419410527595,0.115957329293427,627,0.278297590304226
"VLDL.D",0.136825851923685,0.0993607382494805,0.16898780408858,627,0.389971855589031
"S.HDL.P",3.09668055447965e-08,2.5841013216805e-08,0.231233026996846,627,0.513851171104103
"HDL2.C",-0.0156063562876101,0.0136231787954091,0.252411410504418,627,0.540881593938039
"ApoA1",0.0104390824434052,0.00992200760648205,0.293155184659454,627,0.60652796826094
"HDL3.C",0.00354969117674456,0.00363705421119605,0.329453319314627,627,0.658906638629253
"HDL.C",-0.0120548422839292,0.0156645848803706,0.441852449055814,627,0.855198288495125
"XL.HDL.P",-4.1835013173648e-09,7.7137961145047e-09,0.58777814041863,627,1
"M.HDL.P",4.901069629618e-09,2.29546784530088e-08,0.830998491122895,627,1
"34",34,34,34,34,1
"35",35,35,35,35,1
"36",36,36,36,36,1
"37",37,37,37,37,1
"38",38,38,38,38,1
"39",39,39,39,39,1
"40",40,40,40,40,1
"41",41,41,41,41,1
"42",42,42,42,42,1
"43",43,43,43,43,1
"44",44,44,44,44,1
"45",45,45,45,45,1
"46",46,46,46,46,1
"47",47,47,47,47,1
"48",48,48,48,48,1
"49",49,49,49,49,1
"50",50,50,50,50,1
"51",51,51,51,51,1
"52",52,52,52,52,1
"53",53,53,53,53,1
"54",54,54,54,54,1
"55",55,55,55,55,1
"56",56,56,56,56,1
"57",57,57,57,57,1
"58",58,58,58,58,1
"59",59,59,59,59,1
"60",60,60,60,60,1
